"Wavelength","ATTO 425 EM","ATTO 425 AB","ATTO 465 EM","ATTO 465 AB","ATTO 488 EM","ATTO 488 AB","ATTO 495 EM","ATTO 495 AB","ATTO 514 EM","ATTO 514 AB","ATTO 520 EM","ATTO 520 AB","ATTO 532 EM","ATTO 532 AB","ATTO 542 EM","ATTO 542 AB","ATTO 550 EM","ATTO 550 AB","ATTO 565 EM","ATTO 565 AB","ATTO 590 EM","ATTO 590 AB","ATTO 594 EM","ATTO 594 AB","ATTO 610 EM","ATTO 610 AB","ATTO 620 EM","ATTO 620 AB","ATTO 633 EM","ATTO 633 AB","ATTO 647 EM","ATTO 647 AB","ATTO 655 EM","ATTO 655 AB","ATTO 680 EM","ATTO 680 AB","ATTO 700 EM","ATTO 700 AB","ATTO 725 EM","ATTO 725 AB"
300,,0.0583393943696969,,0.191642427866667,,0.147987879878788,,0.276509092242424,,0.109230303030303,,0.0578909079212121,,0.0718121245090909,,0.0611212109454545,,0.0980909084,,0.155878788848485,,0.0992424251090909,,0.0795818189454545,,0.110690909672727,,0.120642424242424,,0.122060606848485,,0.0460121211575757,,0.110581818181818,,0.0850909083212121,,0.0583999999757576,,0.114963636363636
301,,0.0546181818757576,,0.170527275566667,,0.151763637636364,,0.257093938727273,,0.112157575757576,,0.051872726630303,,0.0743363649272727,,0.0613636361030302,,0.0967727268,,0.154136362545454,,0.0923939399606061,,0.0756787889363636,,0.109472727284848,,0.122193939393939,,0.125015153545455,,0.0479030307393939,,0.111845454545454,,0.0832727270969697,,0.054300000360606,,0.120124242424242
302,,0.0512887443991342,,0.150273595195238,,0.155184416844156,,0.237873591121212,,0.114567532467532,,0.0465406923891775,,0.076763203278355,,0.0617987016870129,,0.0951168828904762,,0.152320343709957,,0.086287879078355,,0.0716956722108225,,0.107940692241126,,0.123392640692641,,0.127696972471861,,0.0499346327454545,,0.112838528138528,,0.0814978357082251,,0.0506523815831169,,0.125029437229437
303,,0.0483510819398268,,0.130881386752381,,0.158250217502164,,0.218848049424242,,0.116460173160173,,0.0418948051978355,,0.0790926395623376,,0.0624264076974025,,0.0931233766714286,,0.150430732341991,,0.0809242424623376,,0.0676324687688311,,0.106094804541558,,0.124238528138528,,0.130106063627706,,0.0521069271757576,,0.113561038961039,,0.0797662341549783,,0.04745714364329,,0.129679220779221
304,,0.0458051944978354,,0.112350650238095,,0.160961039610389,,0.200017313636363,,0.117835497835498,,0.037935065056277,,0.0813246737792207,,0.063246754134199,,0.090792208142857,,0.148467528441558,,0.076303030112554,,0.0634891786103895,,0.103935064186147,,0.124731601731602,,0.132242427012987,,0.054419914030303,,0.114012987012987,,0.0780779224372293,,0.0447142865411255,,0.134073593073593
305,,0.0439264068614718,,0.0932554105887445,,0.163428570779221,,0.180567101341991,,0.118714285714286,,0.0348225104761904,,0.0832294360043289,,0.0639610395194804,,0.0880129869696969,,0.146424238398268,,0.0724761893679653,,0.0588787895367965,,0.101030302463203,,0.124965367965368,,0.134164503419913,,0.0568787874545454,,0.114333333333333,,0.0764329007965367,,0.0427575766363636,,0.138242424242424
306,,0.0421601733376623,,0.0761991339783549,,0.165480517532467,,0.161766236363636,,0.119207792207792,,0.0323160171645021,,0.0852294363333332,,0.0652467532380951,,0.0850735940086579,,0.144294368225108,,0.0695411243290042,,0.0544372307012986,,0.0981991332337661,,0.124822510822511,,0.135731601038961,,0.0595064928787878,,0.114164502164502,,0.0748571422683982,,0.0410476194242424,,0.142073593073593
307,,0.0405541126406926,,0.0617099565541125,,0.167099564761905,,0.144008659662337,,0.118896103896104,,0.0300865802337662,,0.087142857095238,,0.0667705623030302,,0.0818398281948051,,0.142077921255411,,0.0670389606839826,,0.0503766232467532,,0.0952987005930735,,0.124194805194805,,0.137056277748918,,0.0623722942727272,,0.113822510822511,,0.0732640692770562,,0.0392813857922077,,0.145701297792208
308,,0.0393116883982683,,0.0495108223766233,,0.168004326709956,,0.127779221571428,,0.117805194805195,,0.0284935068961039,,0.0891645025541124,,0.0681991339999999,,0.0783549807532467,,0.140151515151515,,0.0649567103160172,,0.0469134193939393,,0.0928961038095237,,0.123103896103896,,0.137761904415584,,0.0653506494675324,,0.112995670995671,,0.071610389121212,,0.0375974025844155,,0.149103897619047
309,,0.0382164501212121,,0.0395800863333333,,0.168311686017316,,0.113432899411255,,0.11608658008658,,0.0272077925844155,,0.0912034635714284,,0.0694891771515151,,0.0748398295194804,,0.138121213852814,,0.0629696976017315,,0.0441774886580086,,0.0908961035151514,,0.121701298701299,,0.138116878831169,,0.0680735934848484,,0.111683982683983,,0.0697012982640692,,0.0359999998917748,,0.152103897186147
310,,0.0372034634112554,,0.0316839830952381,,0.167675323246753,,0.101155845025974,,0.114004329004329,,0.0262987016103896,,0.0933073590129869,,0.0704199136839826,,0.0708917769870129,,0.136194808658008,,0.0608181819999999,,0.0418354966883116,,0.0892987014761903,,0.120164502164502,,0.137900427965368,,0.0705021659393938,,0.10982251091342,,0.0674761895108224,,0.0343116878354978,,0.154701299350649
311,,0.0361645021212121,,0.0253290046813852,,0.166233763679653,,0.0915411269567098,,0.111316017406926,,0.0256147193030303,,0.0953419910303029,,0.0717705631904761,,0.0668614732727272,,0.133805197142857,,0.05887878812987,,0.0397575743030302,,0.0881991342251081,,0.118363636363636,,0.137489175194805,,0.0727748929783549,,0.107476190324675,,0.0648701294112553,,0.0326883112337662,,0.156891776017316
312,,0.0353246758528138,,0.0200000005593073,,0.163658006320346,,0.0842597389826839,,0.108177488935065,,0.0249783554415584,,0.0975064923593072,,0.0733679667402596,,0.0628571435714285,,0.130696971385281,,0.0570173164458874,,0.0379264061038961,,0.0871212120173159,,0.116056277056277,,0.136619044155844,,0.0743463215844155,,0.104930735822511,,0.0619047618528138,,0.0309090909567099,,0.159090908268398
