381, 0.903
381, 0.905
383, 0.921
384, 0.917
386, 0.901
386, 0.904
388, 0.926
389, 0.929
391, 0.920
391, 0.921
393, 0.939
394, 0.938
397, 0.935
397, 0.934
400, 0.943
401, 0.945
403, 0.949
404, 0.944
406, 0.948
407, 0.952
409, 0.955
410, 0.954
413, 0.949
414, 0.951
416, 0.959
417, 0.958
419, 0.958
420, 0.959
423, 0.965
424, 0.968
426, 0.955
427, 0.955
429, 0.965
430, 0.966
432, 0.968
433, 0.964
436, 0.963
437, 0.963
439, 0.958
440, 0.960
442, 0.970
443, 0.969
446, 0.965
447, 0.967
449, 0.972
450, 0.972
452, 0.962
453, 0.962
456, 0.971
457, 0.971
459, 0.967
460, 0.967
463, 0.968
463, 0.965
466, 0.962
467, 0.964
469, 0.962
470, 0.966
472, 0.961
473, 0.956
474, 0.933
475, 0.927
476, 0.907
476, 0.899
477, 0.877
477, 0.868
478, 0.838
478, 0.831
478, 0.807
478, 0.798
478, 0.767
478, 0.731
479, 0.697
479, 0.663
479, 0.691
479, 0.628
479, 0.592
479, 0.557
479, 0.527
479, 0.586
479, 0.518
479, 0.487
480, 0.451
480, 0.417
480, 0.383
480, 0.347
480, 0.312
480, 0.341
480, 0.277
480, 0.243
481, 0.209
481, 0.236
481, 0.174
481, 0.144
481, 0.134
481, 0.104
481, 0.0744
482, 0.0642
482, 0.0348
483, 0.00338
484, 0.00119
486, 0.00114
487, 0.00112
490, 0.00107
490, 0.00105
493, 0.00415
493, 0.0115
494, 0.0372
494, 0.0677
494, 0.0762
494, 0.109
495, 0.143
495, 0.177
495, 0.212
495, 0.281
495, 0.249
495, 0.317
495, 0.387
495, 0.352
496, 0.456
496, 0.424
496, 0.492
496, 0.562
496, 0.527
496, 0.598
496, 0.666
496, 0.632
496, 0.703
497, 0.771
497, 0.737
497, 0.808
497, 0.842
497, 0.850
498, 0.877
499, 0.903
500, 0.911
500, 0.937
501, 0.945
502, 0.960
503, 0.963
506, 0.974
506, 0.974
509, 0.972
510, 0.971
513, 0.975
513, 0.975
516, 0.974
517, 0.974
520, 0.969
523, 0.972
524, 0.973
526, 0.972
527, 0.970
530, 0.971
531, 0.972
533, 0.970
534, 0.970
537, 0.969
538, 0.966
540, 0.962
541, 0.961
543, 0.946
544, 0.939
546, 0.932
546, 0.937
548, 0.924
549, 0.889
549, 0.853
549, 0.818
549, 0.782
550, 0.744
550, 0.674
550, 0.643
550, 0.614
550, 0.605
550, 0.574
550, 0.539
551, 0.504
551, 0.470
551, 0.532
551, 0.434
551, 0.400
551, 0.365
551, 0.330
551, 0.295
551, 0.324
551, 0.260
552, 0.230
552, 0.289
552, 0.220
552, 0.190
552, 0.154
552, 0.119
552, 0.0845
553, 0.0495
553, 0.0211
553, 0.0129
555, -0.000218
556, -0.000233
559, -0.000286
560, -0.000302
563, -0.00123
563, -0.00125
566, -0.000278
567, 0.00306
568, 0.0274
568, 0.0354
569, 0.128
568, 0.0992
569, 0.138
569, 0.167
569, 0.203
569, 0.272
569, 0.237
569, 0.308
570, 0.376
570, 0.342
570, 0.412
570, 0.481
570, 0.447
570, 0.518
570, 0.587
570, 0.552
571, 0.656
570, 0.622
571, 0.693
571, 0.762
571, 0.727
571, 0.798
571, 0.832
571, 0.866
572, 0.903
572, 0.936
574, 0.936
575, 0.941
577, 0.964
577, 0.968
580, 0.973
581, 0.973
583, 0.965
584, 0.962
586, 0.965
587, 0.962
590, 0.966
591, 0.967
593, 0.968
594, 0.967
597, 0.969
597, 0.970
600, 0.971
601, 0.968
603, 0.967
604, 0.966
607, 0.958
610, 0.946
611, 0.941
614, 0.942
615, 0.948
617, 0.944
617, 0.938
619, 0.914
619, 0.907
619, 0.879
620, 0.843
620, 0.810
620, 0.775
620, 0.740
621, 0.707
621, 0.700
621, 0.671
621, 0.635
621, 0.599
621, 0.565
621, 0.530
621, 0.494
622, 0.460
622, 0.425
622, 0.389
622, 0.355
622, 0.321
622, 0.286
622, 0.251
623, 0.216
623, 0.181
623, 0.146
623, 0.109
623, 0.0798
624, 0.0710
624, 0.0404
624, 0.0343
624, 0.00915
625, 0.00280
627, -0.00249
628, -0.00251
631, -0.00256
632, -0.00258
634, -0.00175
635, -0.00177
638, -0.00168
638, 0.000350
640, 0.0247
640, 0.0588
641, 0.0938
641, 0.129
641, 0.164
641, 0.199
642, 0.234
642, 0.269
642, 0.338
642, 0.304
642, 0.374
642, 0.442
642, 0.408
643, 0.478
643, 0.543
643, 0.513
643, 0.583
643, 0.553
643, 0.619
643, 0.654
643, 0.688
644, 0.753
644, 0.723
644, 0.792
644, 0.762
644, 0.827
644, 0.861
645, 0.896
645, 0.928
645, 0.905
646, 0.936
647, 0.958
648, 0.956
649, 0.932
650, 0.926
651, 0.922
652, 0.929
653, 0.947
654, 0.946
657, 0.933
657, 0.928
659, 0.944
660, 0.946
662, 0.954
663, 0.954
665, 0.939
666, 0.940
668, 0.956
669, 0.960
671, 0.967
672, 0.965
675, 0.961
675, 0.961
678, 0.948
679, 0.944
681, 0.943
684, 0.948
685, 0.950
688, 0.949
688, 0.951
691, 0.959
692, 0.957
694, 0.956
695, 0.957
698, 0.955
699, 0.955
701, 0.950
702, 0.951
705, 0.949
705, 0.947
708, 0.947
709, 0.947
712, 0.941
712, 0.943
715, 0.945
716, 0.943
718, 0.938
719, 0.940
722, 0.946
723, 0.947
725, 0.942
726, 0.941
729, 0.946
729, 0.947
732, 0.940
733, 0.936
735, 0.932
736, 0.931
739, 0.933
739, 0.936
742, 0.944
742, 0.944
745, 0.949
