"Wavelength","Zeiss G 365","Zeiss FT 395","Zeiss BP 445/50"
302,0.0345381789556546
303,0.0468115980057725,0.204797909560046
304,0.0534552610863291,0.21817738126476
305,0.0629067173970085,0.246531750196798
306,0.069681973235371,0.258828916294936
307,0.0778421674101283,0.268280372605616
308,0.0883358698504333,0.26764523747048
309,0.100937811598007,0.267796510102336
310,0.113539753345579,0.283548937286802
311,0.126141695093152,0.312095250590399
312,0.140485436893205,0.336632904749411
313,0.154388218315403,0.33796418262923
314,0.163731828916295,0.296900026239829
315,0.170032799790082,0.252793230123325
316,0.181216478614536,0.196479664130151
317,0.205189057990028,0.144742324849122
318,0.235807399632643,0.098213329834687
319,0.254710312254001,0.0446550774075067
320,0.267331409078982,0.0319286276567828
321,0.276060132948483,0.0231999037872823
322,0.283411265634567,0.0158487711011982
323,0.28897992652847,0.0133994358436106
324,0.294230735589959,0.011824193125164
325,0.306536342167411,0
326,0.332377328785098,0
327,0.356934531618998,0
328,0.372686958803464,0
329,0.38843938598793,0
330,0.395473628968775,0
331,0.401078238432608,0
332,0.406329047494096,0
333,0.406702134173008,0
334,0.40565197236071,0
335,0.416685909210181,0
336,0.443089477827343,0
337,0.470816714773026,0
338,0.486231435318814,0
339,0.498833377066387,0
340,0.50609288900551,0
341,0.512393859879297,0
342,0.508624857867576,0
343,0.504277355024928,0
344,0.497976384151141,0
345,0.491675413277355,0
346,0.494058514825505,0
347,0.506269483075309,0
348,0.525275255838365,0
349,0.547328653896617,0
350,0.564509315140384,0
351,0.580261742324849,0
352,0.590397271057465,0
353,0.584096300183678,0
354,0.577795329309892,0
355,0.566856468118604,0
356,0.545242718446601,0
357,0.516477827341904,0
358,0.497574914720543,0
359,0.493764497507216,0
360,0.491339980757456,0
361,0.498691113443541,0
362,0.505853056940436,0
363,0.512154027814222,0
364,0.518454998688008,0.00647949016030163
365,0.526840068223564,0.012827833901863
366,0.52995591708213,0.0151906979795329
367,0.523654946208344,0.0175535620572029
368,0.517353975334558,0.0195122015219102
369,0.502702046706901,0.0210874442403568
370,0.484982944109156,0.0226626869588033
371,0.458032143794276,0.0278935974809761
372,0.419404880608764,0.0335880346365786
373,0.400501967987405,0.0430394909472577
374,0.384265284702177,0.0498247179218054
375,0.368512857517711,0.0635226974547369
376,0.347599055366045,0.0793287850957756
377,0.316955392285489,0.0892108370506433
378,0.29805247966413,0.104963264235109
379,0.276600760955131,0.120715691419574
380,0.256279191813173,0.155518236683284
381,0.227312909997375,0.199522041458935
382,0.174733403306218,0.227974284964577
383,0.152680005247967,0.259479139333508
384,0.133057990028863,0.290983993702441
385,0.114155077407504,0.338632904749414
386,0.0928598792967719,0.394465757019159
387,0.0645055103647315,0.429121096824983
388,0.0518058252427178,0.457514563106797
389,0.0415178430858036,0.497438729992131
390,0.0290724219364983,0.529569666754134
391,0.0146800052479659,0.548472579375493
392,,0.567375491996851
393,,0.583264891104699
394,,0.618786145368673
395,,0.654615586460249
396,,0.680382051954872
397,,0.708736420886908
398,,0.739986880083969
399,,0.794361978483342
400,,0.842852269745475
401,,0.864460509052741
402,,0.883363421674099
403,,0.896709000262398
404,,0.905387562319601
405,,0.911688533193388
406,,0.913366570453949
407,,0.913366570453949
408,,0.913366570453949
409,,0.913366570453949
410,,0.913366570453949
411,,0.913915081343479,0.00671044345316169
412,,0.914702702702702,0.0350648123851997
413,,0.916283783783784,0.0812259249540802
414,,0.921534592845273,0.205887955917088
415,,0.926785401906761,0.36992980844923
416,,0.93203621096825,0.480289687746004
417,,0.936447257937549,0.593707163474161
418,,0.939597743374442,0.685287063762795
419,,0.944894122277617,0.776787850957759
420,,0.952245254963701,0.853849383363948
421,,0.956494325636316,0.869601810548413
422,,0.958857189713986,0.882228286538967
423,,0.96097612175282,0.897139202309106
424,,0.96097612175282,0.912891629493572
425,,0.96097612175282,0.918009052742062
426,,0.96097612175282,0.921159538178956
427,,0.96097612175282,0.924993221376716
428,,0.960768302282865,0.930244030438205
429,,0.957617816845972,0.929996545088778
430,,0.954467331409079,0.922645412402694
431,,0.952610108895303,0.918024501443191
432,,0.95182248753608,0.91566163736552
433,,0.950944469955392,0.913366570453949
434,,0.947006363159275,0.913366570453949
435,,0.943068256363159,0.913366570453949
436,,0.941138808711624,0.914571765940698
437,,0.941138808711624,0.916934630018368
438,,0.941138808711624,0.919297494096038
439,,0.941138808711624,0.916975170558908
440,,0.941138808711624,0.914612306481238
441,,0.941138808711624,0.913366570453949
442,,0.941138808711624,0.913366570453949
443,,0.944817370768827,0.913366570453949
444,,0.951118341642613,0.913366570453949
445,,0.953588461033849,0.913366570453949
446,,0.954376082393072,0.913366570453949
447,,0.955441255575964,0.913366570453949
448,,0.957804119653634,0.913366570453949
449,,0.960166983731304,0.912644417475728
450,,0.962357211580512,0.911856796116505
451,,0.964457535205108,0.909187188401994
452,,0.968172133298347,0.90367383888743
453,,0.972372780547539,0.898160489372867
454,,0.974956901075833,0.896111125688795
455,,0.977319765153503,0.894535882970349
456,,0.979114012070323,0.893813565993177
457,,0.979901633429546,0.894601187352401
458,,0.980689254788769,0.895388808711624
459,,0.980813434794017,0.896176430070847
460,,0.980813434794017,0.896964051430071
461,,0.980813434794017,0.895457097874573
462,,0.980813434794017,0.889156127000787
463,,0.980813434794017,0.837658750983992
464,,0.97891117816846,0.729049593282596
465,,0.97654831409079,0.628234059302013
466,,0.974636643925479,0.504329572290726
467,,0.973849022566255,0.384517580687472
468,,0.973061401207032,0.241654159013369
469,,0.972878509577538,0.0789446339543421
