"Wavelength","Alexa Fluor 488 EM","Alexa Fluor 488 EX","Alexa Fluor 532 EM","Alexa Fluor 532 EX","Alexa Fluor 546 EM","Alexa Fluor 546 EX","Alexa Fluor 555 EM","Alexa Fluor 555 EX","Alexa Fluor 568 EM","Alexa Fluor 568 EX","Alexa Fluor 594 EM","Alexa Fluor 594 EX","Alexa Fluor 647 EM","Alexa Fluor 647 EX","Alexa Fluor 680 EM","Alexa Fluor 680 EX","Alexa Fluor 700 EM","Alexa Fluor 700 EX","Alexa Fluor 750 EM","Alexa Fluor 750 EX"
367,,0.0517,,0.0832,,0.075,,0.0052,,0.091,,0.099
368,,0.0507,,0.0824,,0.0735,,0.0035,,0.0908,,0.1025
369,,0.0494,,0.081,,0.0714,,0.0028,,0.0905,,0.1033
370,,0.0481,,0.0787,,0.0697,,0.0005,,0.0905,,0.1035
371,,0.0476,,0.0775,,0.0669,,0.0025,,0.0899,,0.1075
372,,0.046,,0.0751,,0.0646,,0.0017,,0.0875,,0.1087
373,,0.0444,,0.0728,,0.0614,,0.0032,,0.0861,,0.1111
374,,0.044,,0.0712,,0.0609,,0.0018,,0.0844,,0.1123
375,,0.0429,,0.0684,,0.0577,,0.0001,,0.0829,,0.1152
376,,0.042,,0.0663,,0.056,,0.0047,,0.0805,,0.1137
377,,0.0407,,0.0634,,0.0533,,0.0045,,0.0795,,0.1136
378,,0.0396,,0.061,,0.0511,,0.0001,,0.0786,,0.1156
379,,0.0388,,0.0587,,0.0497,,0.0069,,0.0774,,0.1143
380,,0.0385,,0.0572,,0.0482,,0.0055,,0.0755,,0.1106
381,,0.0368,,0.0536,,0.0467,,0.0053,,0.076,,0.1102
382,,0.0365,,0.0516,,0.0465,,0.0056,,0.0756,,0.108
383,,0.0361,,0.0498,,0.0457,,0.0176,,0.0742,,0.1094
384,,0.0343,,0.0465,,0.0432,,0.0099,,0.0748,,0.1043
385,,0.0344,,0.0452,,0.0443,,0.0046,,0.0743,,0.1036
386,,0.0333,,0.0428,,0.0433,,0.0046,,0.0746,,0.1014
387,,0.033,,0.0416,,0.0435,,0.0049,,0.0738,,0.0996
388,,0.0327,,0.0399,,0.0434,,0.0042,,0.0737,,0.0985
389,,0.0312,,0.0375,,0.0431,,0.0059,,0.0727,,0.0981
390,,0.0308,,0.0357,,0.0432,,0.0049,,0.0721,,0.0969
391,,0.0305,,0.0342,,0.043,,0.0054,,0.0706,,0.0975
392,,0.0294,,0.0326,,0.0422,,0.0045,,0.0694,,0.0967
393,,0.0289,,0.0314,,0.0427,,0.0049,,0.067,,0.0985
394,,0.0283,,0.0301,,0.0428,,0.0025,,0.0657,,0.0975
395,,0.0281,,0.0288,,0.0425,,0.0054,,0.0629,,0.0981
396,,0.0274,,0.0272,,0.0418,,0.0042,,0.061,,0.0977
397,,0.0274,,0.0269,,0.0427,,0.0044,,0.0583,,0.0979
398,,0.0267,,0.0254,,0.0418,,0.0044,,0.0562,,0.0981
399,,0.0265,,0.0247,,0.0422,,0.0054,,0.0531,,0.0984
400,,0.026,,0.0233,,0.041,,0.0027,,0.0508,,0.0963,,,,,,0.0461,,0.0213
401,,0.0258,,0.0227,,0.0413,,0.0046,,0.0478,,0.096,,,,,,0.0453,,0.0216
402,,0.0257,,0.0216,,0.0402,,0.0029,,0.0455,,0.0953,,,,,,0.0444,,0.0221
403,,0.0257,,0.0211,,0.0403,,0.0044,,0.0432,,0.0948,,,,,,0.0439,,0.0225
404,,0.0254,,0.0199,,0.0389,,0.0035,,0.0409,,0.0912,,,,,,0.0429,,0.0227
405,,0.0254,,0.0192,,0.0388,,0.0038,,0.0381,,0.0917,,,,,,0.0421,,0.0229
406,,0.0252,,0.0187,,0.0382,,0.0022,,0.0369,,0.0883,,,,,,0.0411,,0.0231
407,,0.0254,,0.018,,0.0376,,0.0035,,0.0341,,0.0867,,,,,,0.0403,,0.0232
408,,0.0255,,0.0174,,0.0373,,0.0032,,0.0318,,0.0836,,,,,,0.0393,,0.0234
409,,0.0257,,0.0172,,0.0376,,0.0045,,0.0294,,0.0819,,,,,,0.0385,,0.0234
