"Wavelength","Zeiss BP 545/25","Zeiss FT 570","Zeiss BP 605/70"
357,,0.0191841598880438
358,,0.0244349689495329
359,,0.0306919443715566
360,,0.0435974809761223
361,,0.0565808186827607
362,,0.0654647074258729
363,,0.0717656782996589
364,,0.0838688008396752
365,,0.106891235896091
366,,0.128909997376017
367,,0.14151193912359
368,,0.154113880871163
369,,0.166715822618735
370,,0.197017843085804
371,,0.231075964313829,0.00635056415638943
372,,0.252796641301496,0.0105512114055805
373,,0.271699553922854,0.0127525583836263
374,,0.28527000787195,0.0127525583836263
375,,0.296022697454737,0.0127525583836263
376,,0.305474153765416,0.0127525583836263
377,,0.31514090789819,0.0127525583836263
378,,0.327742849645762,0.0155166622933618
379,,0.342893597480975,0.0218176331671476
380,,0.37942797166098,0.0269640514300708
381,,0.426582261873524,0.0311646986792619
382,,0.458087116242457,0.031202134173008
383,,0.489591970611389,0.0291018105484126
384,,0.521096824980322,0.0245701040846674
385,,0.560673707688274,0.0193192950231789
386,,0.599159275780636,0.0177766990291262
387,,0.611761217528209,0.0167265372168284
388,,0.618101285751771,0.0261128312778803
389,,0.625173576489111,0.0471340855418544
390,,0.632524709175195,0.0573681448438724
391,,0.641651666229337,0.0497071634741531
392,,0.651103122540016,0.0371052217265808
393,,0.669595119391238,0.0275167934925206
394,,0.699480713723435,0.0158688008396735
395,,0.721260167934925,0.0115442141170298
396,,0.726510976996414,0.0184077669902911
397,,0.727150223038572,0.0278592233009696
398,,0.723999737601679,0.0373106796116504
399,,0.718770139071109,0.0384456835476256
400,,0.709524184378552,0.0302466544214134
401,,0.695872080818682,0.0153845447389142
402,,0.696189888918044,0.00593308842823491
403,,0.709841992477915,0.00481763316714767
404,,0.74441878771976,0.00481763316714767
405,,0.779084229860929,0.00596234584098671
406,,0.790921455436019,0.00911283127787998
407,,0.796172264497508,0
408,,0.799164698679261,0
409,,0.793913889617773,0
410,,0.778047756494357,0
411,,0.742204845622321,0
412,,0.733803551123939,0
413,,0.731376541590136,0
414,,0.756580425085281,0
415,,0.779964576226713,0
416,,0.798774599842562,0
417,,0.814527027027028,0
418,,0.822191463307968,0
419,,0.827442272369457,0
420,,0.821588384501005,0
421,,0.814237251814921,0
422,,0.801676200472316,0
423,,0.792922548762354,0
424,,0.78557141607627,0
425,,0.788855287326161,0
426,,0.79410609638765,0
427,,0.800359748097612,0
428,,0.813235371293624,0
429,,0.823489504067174,0
430,,0.826639989504067,0
431,,0.826341773812647,0
432,,0.823191288375754,0
433,,0.817966675413277,0
434,,0.81166570453949,0
435,,0.805364733665704,0
436,,0.803482812909997,0
437,,0.805845676987667,0
438,,0.808208541065337,0
439,,0.808228811335607,0
440,,0.808228811335607,0
441,,0.804753301845534,0
442,,0.79740216915945,0
443,,0.790664130149566,0
444,,0.782659319513686,0
445,,0.771107539578411,0
446,,0.766873524009447,0
447,,0.772124333070935,0
448,,0.790002099186566,0
449,,0.812323930726843,0
450,,0.819675063412927,0
451,,0.825353319338756,0
452,,0.82850380477565,0
453,,0.826840986617685,0
454,,0.815027814221987,0
455,,0.786673445289951,0
456,,0.761440041983729,0
457,,0.738540146943057,0
458,,0.714999737601677,0
459,,0.689795854106531,0
460,,0.685408904049682,0
461,,0.695910522172659,0
462,,0.734108632904751,0
463,,0.769450931514038,0
464,,0.784098136971924,0
465,,0.793549593282604,0
466,,0.800114930464445,0
467,,0.796070191550773,0
468,,0.770340593020201,0
469,,0.722108764103909,0
470,,0.68745342429808,0
471,,0.652798084492257,0
472,,0.616191025977431,0
473,,0.572711493046439,0
474,,0.52391970611388,0
475,,0.517618735240093,0
476,,0.52722540015744,0
477,,0.558170296510104,0
478,,0.59312122802414,0
479,,0.60820585148255,0
480,,0.613456660544039,0
481,,0.617240488060876,0
482,,0.614090002623983,0
483,,0.602840461821041,0
484,,0.571750196798739,0
485,,0.555997769614274,0
486,,0.54266176856468,0
487,,0.52846037785358,0
488,,0.508013119916029,0
489,,0.473357780110205,0
490,,0.460514300708474,0
491,,0.44561335607452,0
492,,0.415040671739697,0
493,,0.374433875623194,0
494,,0.358681448438729,0
495,,0.336931907635789,0
496,,0.308333770663864,0
497,,0.279558121228022,0
498,,0.264211493046447,0
499,,0.29571634741538,0
500,,0.318577801102073,0
501,,0.338567042770926,0
502,,0.343750983993702,0
503,,0.325847546575699,0
504,,0.294342692206768,0
505,,0.251782996588817,0
506,,0.19988926790868,0
507,,0.134142482288109,0
508,,0.0584854368932042,0
509,,0.039582524271844,0
510,,0.0286184728417737,0
511,,0.0209963264235108,0
512,,0.0146953555497242,0
513,,0,0
514,,0,0
515,,0,0
516,,0,0
517,,0,0
518,,0,0
519,,0,0
520,,0,0
521,,0,0
522,,0,0
523,,0,0
524,,0,0
525,,0,0
526,0.0537320913146207,0,0
527,0.125772107058523,0,0
528,0.267543951718713,0,0
529,0.493135791130955,0,0
530,0.705708475465772,0,0
531,0.831632248753609,0,0
532,0.85368564681186,0,0
533,0.864627984780897,0,0
534,0.866203227499344,0,0
535,0.867684170821306,0,0
536,0.865321306743637,0,0
537,0.862958442665967,0,0
538,0.862983534505379,0,0
539,0.865346398583049,0,0
540,0.867709262660719,0,0
541,0.868776917694393,0,0
542,0.870237470480189,0,0
543,0.875488279541677,0,0
544,0.879423948220065,0,0
545,0.878373786407767,0,0
546,0.876316277442491,0,0
547,0.8721156301933,0,0
548,0.869724481763317,0,0
549,0.869724481763317,0,0
550,0.869724481763317,0,0
551,0.86014563106796,0.00489258962240044,0
552,0.847406979795317,0.00978517924480088,0
553,0.740290474940951,0.0127525583836263,0
554,0.56338677512463,0.0127525583836263,0
555,0.380800970873776,0.0175209918656526,0
556,0,0.0261999475203366,0
557,0,0.0325009183941234,0
558,0,0.0419078981894528,0
559,0,0.0650935450013168,0
560,0,0.0890317501968022,0
561,0,0.109244817633171,0
562,0,0.134448701128318,0
563,0,0.165629755969565,0
564,0,0.229708737864081,0
565,0,0.290860666491738,0
566,0,0.329204145893474,0
567,0,0.37016045657308,0
568,0,0.411116767252694,0
569,0,0.472614930464457,0.141228207158664
570,0,0.528992390448707,0.312362896877499
571,0,0.561337706638683,0.520921542902148
572,0,0.5991435318814,0.672144843873016
573,0,0.639703096300187,0.768293361322494
574,0,0.703900551036485,0.837139333508274
575,0,0.766985699291531,0.87518499081606
576,0,0.801943846759384,0.87938563806525
577,0,0.839749672002101,0.881626869588034
578,0,0.869646549462086,0.881626869588034
579,0,0.901639595906591,0.881626869588034
580,0,0.927273681448439,0.883617598180705
581,0,0.933512857517712,0.885841511414327
582,0,0.938763666579201,0.890042158663518
583,0,0.943791491734453,0.893529257412752
584,0,0.94772959853057,0.893529257412752
585,0,0.951667705326687,0.893529257412752
586,0,0.953041196536342,0.893529257412752
587,0,0.953041196536342,0.893529257412752
588,0,0.953458934662818,0.893250765328435
589,0,0.956609420099711,0.891150441703839
590,0,0.959759905536605,0.887770926266071
591,0,0.96097612175282,0.880419793579987
592,0,0.96097612175282,0.876513644712674
593,0,0.96097612175282,0.878876508790344
594,0,0.96097612175282,0.881239372868013
595,0,0.96097612175282,0.880968413802151
596,0,0.961430333245867,0.880180792442928
597,0,0.96221795460509,0.878643269483075
598,0,0.96326467243943,0.875492784046182
599,0,0.968515481500919,0.869643007084754
600,0,0.972878509577538,0.861789556546838
601,0,0.972878509577538,0.861789556546838
602,0,0.972878509577538,0.862966150616636
603,0,0.972878509577538,0.867166797865827
604,0,0.972878509577538,0.871778185952943
605,0,0.972878509577538,0.877028995014432
606,0,0.972878509577538,0.880038638152716
607,0,0.972878509577538,0.880826259511939
608,0,0.972878509577538,0.881613880871162
609,0,0.972878509577538,0.877753706376278
610,0,0.972878509577538,0.873815599580162
611,0,0.972878509577538,0.87097592495408
612,0,0.972716609813697,0.869400682235633
613,0,0.971928988454474,0.867825439517187
614,0,0.97114136709525,0.865504919968512
615,0,0.968189615586459,0.863142055890842
616,0,0.964251508790343,0.862799921280504
617,0,0.96097612175282,0.865162785358174
618,0,0.96097612175282,0.867525649435844
619,0,0.96097612175282,0.867740750459197
620,0,0.959441091577014,0.867740750459197
621,0,0.957078227499344,0.866818453161899
622,0,0.954921739700866,0.864455589084229
623,0,0.954134118341642,0.86209272500656
624,0,0.953346496982419,0.861789556546838
625,0,0.953041196536342,0.861789556546838
626,0,0.953041196536342,0.861511479926528
627,0,0.953041196536342,0.860723858567305
628,0,0.953041196536342,0.859936237208082
629,0,0.953041196536342,0.857176987667279
630,0,0.953494161637365,0.854026502230385
631,0,0.954281782996589,0.848890273768914
632,0,0.955158357386513,0.843402256625556
633,0,0.957521221464183,0.833950800314877
634,0,0.959884085541852,0.824499344004198
635,0,0.96097612175282,0.815047887693519
636,0,0.96097612175282,0.808457622671215
637,0,0.96097612175282,0.793979795329309
638,0,0.96097612175282,0.735805300446062
639,0,0.96097612175282,0.612804775649424
640,0,0.962027464357561,0.467882445552354
641,0,0.964127787982157,0.33393518761479
642,0,0.967512638852445,0.207395171870887
643,0,0.971713286101636,0.0956243768039817
644,0,0.971360797690894,0
645,0,0.969260474066299,0
646,0,0.965409253914108,0
647,0,0.961208606664917,0
648,0,0.958744030438205,0
649,0,0.956381166360535,0
650,0,0.954689385987929,0
651,0,0.953901764628706,0
652,0,0.953114143269483,0
653,0,0.948038474153765,0
654,0,0.942525124639202,0
655,0,0.937930333245867,0
656,0,0.934779847808974,0
657,0,0.931629362372081,0
658,0,0.927793558121228,0
659,0,0.923855451325111,0
660,0,0.920471004985568,0
661,0,0.918108140907898,0
662,0,0.915745276830228,0
663,0,0.914694338756232,0
664,0,0.913906717397008,0
665,0,0.91410899370244,0
666,0,0.91647185778011,0
667,0,0.918834721857781,0
668,0,0.919944371556022,0
669,0,0.920731992915245,0
670,0,0.922828325898715,0
671,0,0.928341675413278,0
672,0,0.933855024927841,0
673,0,0.93757662030963,0
674,0,0.940727105746523,0
675,0,0.944632642351089,0
676,0,0.950933613224876,0
677,0,0.957234584098662,0
678,0,0.959560286014169,0
679,0,0.960347907373393,0
680,0,0.96097612175282,0
681,0,0.96097612175282,0
682,0,0.96097612175282,0
683,0,0.960437581999475,0
684,0,0.959649960640251,0
685,0,0.95847218577801,0
686,0,0.955321700341117,0
687,0,0.951011239394733,0
688,0,0.943660106708649,0
689,0,0.937935318813959,0
690,0,0.934784833377066,0
691,0,0.931634347940172,0
692,0,0.924835476252951,0
693,0,0.917484343566867,0
694,0,0.908075833114667,0
695,0,0.900893466281814,0
696,0,0.894592495408028,0
697,0,0.888714947957665,0
698,0,0.884514300708474,0
699,0,0.881626869588034,0
700,0,0.881626869588034,0
701,0,0.881626869588034,0
702,0,0.881626869588034,0
703,0,0.881626869588034,0
704,0,0.881626869588034,0
705,0,0.881660544039185,0
706,0,0.88376086766378,0
707,0,0.886128050380478,0
708,0,0.890328697629669,0
709,0,0.894029301145806,0
710,0,0.896129624770401,0
711,0,0.899696405143007,0
712,0,0.905997376016793,0
713,0,0.91229834689058,0
714,0,0.918599317764367,0
715,0,0.925500087466107,0
716,0,0.932851220152191,0
717,0,0.936799494883233,0
718,0,0.939162358960902,0
719,0,0.941482288113356,0
720,0,0.943582611737952,0
721,0,0.946259599405231,0
722,0,0.950460246654422,0
723,0,0.953041196536342,0
724,0,0.953041196536342,0
725,0,0.953041196536342,0
726,0,0.951220327123239,0
727,0,0.949120003498644,0
728,0,0.943938598792967,0
729,0,0.938687789731479,0
730,0,0.93343698066999,0
731,0,0.928186171608501,0
732,0,0.922935362547012,0
733,0,0.91703126913321,0
734,0,0.909680136447126,0
735,0,0.902329003761042,0
736,0,0.894977871074958,0
737,0,0.889026305431645,0
738,0,0.884300577276306,0
739,0,0.87955208606665,0
740,0,0.873251115192863,0
741,0,0.866950144319076,0
742,0,0.862211230648123,0
743,0,0.85906074521123,0
744,0,0.855910259774337,0
745,0,0.852759774337444,0
746,0,0.849609288900551,0
