"Wavelength","Alexa Fluor 700 EX","Alexa Fluor 700 EM","Alexa Fluor 488 EX","Alexa Fluor 488 EM","Alexa Fluor 532 EX","Alexa Fluor 532 EM","Alexa Fluor 546 EX","Alexa Fluor 546 EM","Alexa Fluor 555 EX","Alexa Fluor 555 EM","Alexa Fluor 568 EX","Alexa Fluor 568 EM","Alexa Fluor 647 EX","Alexa Fluor 647 EM","Alexa Fluor 660 EX","Alexa Fluor 660 EM","Alexa Fluor 680 EX","Alexa Fluor 680 EM","Alexa Fluor 594 EX","Alexa Fluor 594 EM","BODIPY FL EX","BODIPY FL EM"
300,,,0.372,,0.236,,0.3059,,0.111,,0.1837,,,,0.1191,,,,0.1988,,0.0384
301,,,0.3514,,0.219,,0.2762,,0.0973,,0.155,,,,0.1079,,,,0.1796,,0.0392
302,,,0.3364,,0.2053,,0.2519,,0.0887,,0.1312,,,,0.0973,,,,0.1622,,0.0395
303,,,0.323,,0.1916,,0.2308,,0.0825,,0.1144,,,,0.0905,,,,0.1472,,0.0406
304,,,0.3089,,0.1785,,0.2097,,0.0808,,0.1,,,,0.0852,,,,0.1354,,0.0412
305,,,0.2993,,0.1696,,0.1946,,0.0678,,0.088,,,,0.081,,,,0.1166,,0.0414
306,,,0.2911,,0.161,,0.1783,,0.0571,,0.0802,,,,0.0783,,,,0.0999,,0.0417
307,,,0.2817,,0.1515,,0.163,,0.0573,,0.0739,,,,0.077,,,,0.0836,,0.0417
308,,,0.2784,,0.1471,,0.157,,0.0533,,0.0671,,,,0.0768,,,,0.0735,,0.0419
309,,,0.275,,0.1424,,0.1469,,0.0431,,0.0635,,,,0.0765,,,,0.0677,,0.0421
310,,,0.2729,,0.139,,0.1377,,0.0452,,0.0592,,,,0.078,,,,0.0579,,0.0423
311,,,0.2726,,0.1378,,0.134,,0.0439,,0.0552,,,,0.0782,,,,0.0508,,0.0428
312,,,0.2743,,0.138,,0.1329,,0.0396,,0.0551,,,,0.0805,,,,0.0527,,0.043
313,,,0.2737,,0.1387,,0.1286,,0.0385,,0.0508,,,,0.0829,,,,0.0462,,0.0432
314,,,0.2743,,0.14,,0.1272,,0.038,,0.0494,,,,0.0846,,,,0.0427,,0.0439
315,,,0.2732,,0.1419,,0.1256,,0.0365,,0.0513,,,,0.0872,,,,0.0397,,0.0445
316,,,0.2697,,0.1424,,0.1243,,0.0418,,0.0481,,,,0.0897,,,,0.0456,,0.0454
317,,,0.2668,,0.1444,,0.1226,,0.0381,,0.047,,,,0.0926,,,,0.0373,,0.0461
318,,,0.2592,,0.1439,,0.1202,,0.0337,,0.0472,,,,0.0948,,,,0.0388,,0.0465
319,,,0.2519,,0.1457,,0.1194,,0.0322,,0.0481,,,,0.0972,,,,0.0409,,0.0476
320,,,0.243,,0.1474,,0.1179,,0.0293,,0.0471,,,,0.0998,,,,0.0405,,0.0485
321,,,0.2328,,0.1473,,0.1157,,0.024,,0.0486,,,,0.1013,,,,0.0413,,0.0487
322,,,0.2198,,0.1456,,0.1135,,0.027,,0.0487,,,,0.1038,,,,0.0413,,0.0496
323,,,0.2098,,0.1477,,0.1178,,0.0234,,0.0491,,,,0.1034,,,,0.0421,,0.0503
324,,,0.1992,,0.148,,0.116,,0.0219,,0.0481,,,,0.105,,,,0.0423,,0.0507
325,,,0.1864,,0.1467,,0.1161,,0.0257,,0.048,,,,0.1061,,,,0.0418,,0.052
326,,,0.1757,,0.1479,,0.1183,,0.0294,,0.0483,,,,0.1069,,,,0.0396,,0.0534
327,,,0.1677,,0.1497,,0.1191,,0.0225,,0.0495,,,,0.1068,,,,0.0472,,0.0542
328,,,0.1582,,0.151,,0.1181,,0.0314,,0.0492,,,,0.1084,,,,0.0431,,0.0562
329,,,0.1493,,0.1511,,0.1143,,0.032,,0.0524,,,,0.1077,,,,0.0421,,0.0571
330,,,0.1439,,0.1517,,0.114,,0.0264,,0.0542,,,,0.1091,,,,0.0463,,0.0578
331,,,0.1393,,0.1527,,0.1136,,0.0291,,0.0549,,,,0.1104,,,,0.044,,0.0591
332,,,0.1363,,0.1516,,0.1143,,0.0284,,0.0562,,,,0.1115,,,,0.0461,,0.06
